ticketnumber,truckid,intime,outtime,gross,tare,net,tons,product,customer,po,truckco
16940,309,08252020 1434,08262020 0512, 63480,     0, 63480, 31.74,NONE,NONE,NONE,NONE
16941,5,08242020 1525,08262020 0512, 63480, 30000, 33480, 16.74,NONE,NONE,NONE,NONE
16942,10,08262020 0513,08262020 0514, 63480, 25480, 38000, 19.00,1 2 INCH SCREENED APACHE BROWN,VALLEY EXPRESS,YARD STOCK,VALLEY EXPRESS
16943,76,08262020 0520,08262020 0523, 80060, 32000, 48060, 24.03,7 8 INCH SCREENED APACHE BROWN,GOTHIC LANDSCAPE,38009205 PEBBLE CREEK,DESERT EQUIPMENT CO.
16944,75,08262020 0526,08262020 0528, 80000, 32000, 48000, 24.00,5 8 INCH SCREENED APACHE BROWN,GOTHIC LANDSCAPE,38009138 ENCANTADA,DESERT EQUIPMENT CO.
16945,72,08262020 0529,08262020 0531, 80000, 29200, 50800, 25.40,5 8 INCH SCREENED APACHE BROWN,LAYTON HOA,LAYTON LAKES,DESERT EQUIPMENT CO.
16946,73,08262020 0533,08262020 0534, 80040, 30280, 49760, 24.88,5 8 INCH SCREENED APACHE BROWN,LAYTON HOA,LAYTON LAKES,DESERT EQUIPMENT CO.
16947,101,08262020 0536,08262020 0540, 55100, 30000, 25100, 12.55,3 4 INCH MINUS APACHE BROWN,GOTHIC LANDSCAPE,38009199 EASTMARK ENCORE 9-7,RCN TRUCKING LLC
16948,5,08262020 0542,08262020 0543, 79260, 28800, 50460, 25.23,5 8 INCH SCREENED SUPERIOR GOLD,AQUATECH IRRIGATION INC,JAKE IN THE BOX,RENEGADE TRUCKING LLC
16949,7,08262020 0547,08262020 0549, 79800, 29000, 50800, 25.40,3 8 INCH MINUS APACHE BROWN,REED LANDSCAPE,9401 WEST GARFIELD,RENEGADE TRUCKING LLC
16950,01,08262020 0602,08262020 0603, 70840, 26000, 44840, 22.42,7 8 INCH SCREENED APACHE BROWN,DESERT REDI MIX,VILLAGIO TEMPE,KEPS TRUCKING
16951,03,08262020 0629,08262020 0631, 80160, 30000, 50160, 25.08,4-10 INCH APACHE BROWN,CARETAKER INC,117001 BELLA MAE,MTZ TRUCKING
16952,12,08262020 0715,08262020 0716, 65620, 29000, 36620, 18.31,1 2 INCH SCREENED SUPERIOR GOLD,VALLEY EXPRESS,YARD STOCK,VALLEY EXPRESS
16953,28,08262020 0738,08262020 0739, 77640, 28000, 49640, 24.82,5 8 INCH SCREENED APACHE BROWN,KALAMAZOO,YARD STOCK,OUTLAW TRUCKING   MATERIALS LLC
